ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
933,USSR,1987,,1987,DEC,27,STS-B,49.87944,78.725,0,20,117,12/27/1987,12,0
282,USA,Storax,Mississippi,1962,OCT,5,NTS-YF,37.13942,-116.05033,-493.78,115,115,10/5/1962,10,-150.5426829
27,FRANCE,1968,Capella,1968,JUL,7,PMU-DE,-21.83,-138.88,463,115,115,7/7/1968,7,141.1585366
823,USSR,1983,,1983,OCT,26,STS-B,49.9125,78.82167,0,20,114,10/26/1983,10,0
881,USSR,1985,,1985,JUN,15,STS-B,49.90861,78.84278,0,20,114,6/15/1985,6,0
97,FRANCE,1979,Tydee,1979,JUL,25,PMU-R34,-21.88,-138.94,0,20,112,7/25/1979,7,0
40,UK,Charioteer,Kinibito,1985,DEC,5,NTS-YF,37.05327,-116.04537,-579.42,20,110,12/5/1985,12,-176.652439
859,USSR,1984,,1984,OCT,25,NZ-NS,73.355,54.99,-500,0.001,110,10/25/1984,10,-152.4390244
619,USSR,1978,,1978,NOV,29,STS-D,49.78333,78.01556,0,0.001,110,11/29/1978,11,0
48,USA,Castle,Koon,1954,APR,6,BK,11.4967,165.3675,2.9,110,110,4/6/1954,4,0.884146341
21,FRANCE,1966,Betelguese,1966,SEP,11,PMU-DE,-21.83,-138.88,470,110,110,9/11/1966,9,143.2926829
215,USSR,1962,,1962,DEC,18,NZ,73,55,1600,110,110,12/18/1962,12,487.804878
745,USSR,1981,,1981,OCT,18,STS-B,49.92806,78.84472,0,20,107,10/18/1981,10,0
910,USSR,1987,,1987,JUN,20,STS-B,49.93528,78.74417,0,20,107,6/20/1987,6,0
201,FRANCE,1991,Periclymentos,1991,MAY,29,PFA-L2,-22.256,-138.794,0,80,106,5/29/1991,5,0
874,USSR,1984,,1984,DEC,28,STS-B,49.88028,78.70389,0,20,105,12/28/1984,12,0
265,USA,Storax,Sedan,1962,JUL,6,NTS-YF,37.177,-116.0454,-190,104,104,7/6/1962,7,-57.92682927
622,USSR,1978,Galit,1978,DEC,18,null,47.86,48.16,-630,103,103,12/18/1978,12,-192.0731707
44,UK,Sculpin,Houston,1990,NOV,14,NTS-PM,37.22742,-116.37124,-594.4,20,103,11/14/1990,11,-181.2195122
39,UK,Grenadier,Egmont,1984,DEC,9,NTS-PM,37.27008,-116.49758,-546,20,103,12/9/1984,12,-166.4634146
928,USSR,1987,,1987,NOV,15,STS-B,49.89861,78.75806,0,20,103,11/15/1987,11,0
183,FRANCE,1988,Cycnos,1988,NOV,30,PFA-L2,-22.233,-138.74,0,80,103,11/30/1988,11,0
705,USSR,1980,,1980,OCT,12,STS-B,49.9675,79.0225,-440,20,102,10/12/1980,10,-134.1463415
617,USSR,1978,,1978,NOV,29,STS-B,49.95333,78.79528,0,20,101,11/29/1978,11,0
714,USSR,1980,,1980,DEC,14,STS-B,49.90889,78.91861,0,0.001,101,12/14/1980,12,0
1076,USA,Touchstone,Kearsarge,1988,AUG,17,NTS-PM,07:54.6,-116.30654,-615.7,100,100,8/17/1988,8,-187.7134146
817,USSR,1983,,1983,SEP,25,NZ-NS,73.328,54.541,-500,20,100,9/25/1983,9,-152.4390244
254,USSR,1966,,1966,MAR,20,STS-D,49.75167,78.00833,-310,100,100,3/20/1966,3,-94.51219512
271,USSR,1966,,1966,DEC,18,STS-SU,49.92458,77.74722,0,20,100,12/18/1966,12,0
718,USSR,1980,,1980,DEC,27,STS-B,50.06194,78.97528,0,20,100,12/27/1980,12,0
195,FRANCE,1990,Cypselos,1990,JUN,26,PFA-L2,-22.215,-138.841,0,80,100,6/26/1990,6,0
236,USA,Dominic I,Mesilla,1962,MAY,9,LI-CH,1.6,-157.3,747,100,100,5/9/1962,5,227.7439024
235,USA,Dominic I,Yukon,1962,MAY,8,LI-CH,1.6,-157.3,878,100,100,5/8/1962,5,267.6829268
5,UK,Mosaic,Mosaic G2,1956,JUN,19,MB,-20.4061,115.5361,31,60,98,6/19/1956,6,9.451219512
641,USSR,1979,,1979,JUL,7,STS-B,50.03306,78.98917,0,20,97,7/7/1979,7,0
206,FRANCE,1995,Ploutos,1995,OCT,1,PFA-L2,-22.25,-138.74,0,80,97,10/1/1995,10,0
242,USA,Dominic I,Swanee,1962,MAY,14,LI-CH,1.6,-157.3,896,97,97,5/14/1962,5,273.1707317
61,FRANCE,1974,Scorpion,1974,AUG,14,PMU-DI,-21.83,-138.88,312,96,96,8/14/1974,8,95.12195122
531,USSR,1976,,1976,DEC,7,STS-B,49.89917,78.78639,0,0.001,95,12/7/1976,12,0
44,CHINA,,,1995,MAY,15,LN-C,41.6,88.82,0,40,95,5/15/1995,5,0
672,USSR,1979,,1979,DEC,2,STS-B,49.90944,78.78444,0,0.001,93,12/2/1979,12,0
724,USSR,1981,,1981,APR,22,STS-B,49.89889,78.80861,0,20,92,4/22/1981,4,0
133,USA,Hardtack I,Sycamore,1958,MAY,31,BK,11.6908,165.2736,3,92,92,5/31/1958,5,0.914634146
618,USA,Bowline,Purse,1969,MAY,7,NTS-PM,37.28289,-116.50064,-598.75,20,90,5/7/1969,5,-182.5457317
370,USSR,1971,,1971,APR,25,STS-D,49.78028,78.03667,0,90,90,4/25/1971,4,0
42,CHINA,,,1994,JUN,10,LN-C,41.53,88.71,0,40,90,6/10/1994,6,0
43,CHINA,,,1994,OCT,7,LN-C,41.66,88.75,0,40,90,10/7/1994,10,0
45,CHINA,,,1995,AUG,17,LN-C,41.56,88.8,0,60,90,8/17/1995,8,0
877,USA,Fulcrum,Rudder,1976,DEC,28,NTS-YF,24:42.3,-116.03646,-638.56,20,89,12/28/1976,12,-194.6829268
840,USA,Bedrock,Cabrillo,1975,MAR,7,NTS-YF,12:58.5,-116.08424,-600.46,20,89,3/7/1975,3,-183.0670732
922,USA,Quicksilver,Quinella,1979,FEB,8,NTS-YF,27:34.3,-116.05484,-579.1,20,89,2/8/1979,2,-176.554878
939,USA,Tinderbox,Pyramid,1980,APR,16,NTS-YF,25:36.8,-116.03053,-579.1,20,89,4/16/1980,4,-176.554878
36,UK,Praetorian,Gibne,1982,APR,25,NTS-PM,37.25584,-116.42236,-570,20,89,4/25/1982,4,-173.7804878
707,USA,Emery,Tijeras,1970,OCT,14,NTS-YF,37.0707,-116.0051,-560.62,20,89,10/14/1970,10,-170.9207317
680,USA,Mandrel,Shaper,1970,MAR,23,NTS-YF,37.08622,-116.02111,-560.44,20,89,3/23/1970,3,-170.8658537
659,USA,Mandrel,Grape A,1969,DEC,17,NTS-YF,37.08381,-116.00158,-550.67,20,89,12/17/1969,12,-167.8871951
41,UK,Charioteer,Darwin,1986,JUN,25,NTS-PM,37.26459,-116.49931,-548.95,20,89,6/25/1986,6,-167.3628049
729,USA,Grommet,Miniata,1971,JUL,8,NTS-YF,37.11011,-116.05142,-528.83,83,89,7/8/1971,7,-161.2286585
349,USSR,1970,,1970,JUN,28,STS-D,49.79333,78.11306,-332,20,88,6/28/1970,6,-101.2195122
580,USSR,1978,,1978,JUL,5,STS-B,49.9,78.86667,0,20,87,7/5/1978,7,0
192,FRANCE,1989,Lycos,1989,NOV,27,PFA-L2,-22.251,-138.722,0,80,87,11/27/1989,11,0
885,USSR,1985,,1985,JUN,30,STS-B,49.86444,78.66861,0,0.001,86,6/30/1985,6,0
902,USSR,1987,,1987,APR,17,STS-B,49.87778,78.66889,0,20,86,4/17/1987,4,0
846,USSR,1984,Kvarts-2,1984,AUG,11,null,65.05,55.1,-760,8.5,85,8/11/1984,8,-231.7073171
972,USSR,1989,,1989,OCT,19,STS-B,49.92222,78.90833,-628,20,85,10/19/1989,10,-191.4634146
833,USSR,1984,,1984,MAR,29,STS-B,49.91111,78.92694,0,20,83,3/29/1984,3,0
821,USSR,1983,,1983,OCT,6,STS-B,49.92458,78.75069,0,20,82,10/6/1983,10,0
259,USA,Dominic I,Otowi,1962,JUN,22,LI-CH,1.6,-157.3,2746,81.5,81.5,6/22/1962,6,837.195122
599,USSR,1978,,1978,SEP,15,STS-B,49.92833,78.86167,0,20,81,9/15/1978,9,0
125,USA,Hardtack I,Butternut,1958,MAY,11,EN,11.5411,162.3506,3,81,81,5/11/1958,5,0.914634146
14,USA,Greenhouse,Dog,1951,APR,7,EN,11.5558,162.3544,91,81,81,4/7/1951,4,27.74390244
360,USSR,1970,Say-Utes-2,1970,DEC,12,null,43.85,54.8,-740,80,80,12/12/1970,12,-225.6097561
433,USA,Flintlock,Long Shot,1965,OCT,29,AK,51.4381,179.1826,-700,80,80,10/29/1965,10,-213.4146341
943,USSR,1988,,1988,MAY,7,NZ-NS,73.314,54.553,-300,20,80,5/7/1988,5,-91.46341463
443,USSR,1973,,1973,DEC,14,STS-B,50.04381,78.98569,0,20,80,12/14/1973,12,0
103,FRANCE,1980,Thesee,1980,MAR,23,PMU-R34,-21.861,-138.939,0,20,80,3/23/1980,3,0
110,FRANCE,1980,Asios,1980,JUL,19,PMU-R34,-21.861,-138.934,0,20,80,7/19/1980,7,0
778,USSR,1982,,1982,OCT,11,NZ-NS,73.339,54.608,0,0.001,80,10/11/1982,10,0
153,FRANCE,1985,Nisos,1985,MAY,8,PMU-L,-21.831,-138.981,0,20,80,5/8/1985,5,0
177,FRANCE,1988,Niobe,1988,MAY,25,PMU-L,-21.845,-138.961,0,20,80,5/25/1988,5,0
187,FRANCE,1989,Cyzicos,1989,JUN,10,PFA-L2,-22.217,-138.721,0,80,80,6/10/1989,6,0
41,CHINA,,,1993,OCT,5,LN-C,41.667,88.695,0,40,80,10/5/1993,10,0
168,USSR,1962,,1962,SEP,2,NZ,73,55,1300,80,80,9/2/1962,9,396.3414634
870,USSR,1984,,1984,DEC,2,STS-B,50.00611,79.00889,0,20,79,12/2/1984,12,0
913,USSR,1987,,1987,JUL,17,STS-D,49.77583,78.01972,-267,20,78,7/17/1987,7,-81.40243902
551,USSR,1977,,1977,SEP,5,STS-B,50.05556,78.91417,0,20,78,9/5/1977,9,0
38,UK,Fusileer,Mundo,1984,MAY,1,NTS-YF,37.10622,-116.02238,-566,20,77,5/1/1984,5,-172.5609756
35,UK,Praetorian,Rousanne,1981,NOV,12,NTS-YF,37.10815,-116.04898,-517.2,20,77,11/12/1981,11,-157.6829268
507,USA,Latchkey,Knickerbocker,1967,MAY,26,NTS-PM,37.24794,-116.48017,-630.63,76,76,5/26/1967,5,-192.2652439
836,USSR,1984,,1984,APR,25,STS-B,49.93583,78.85056,0,20,76,4/25/1984,4,0
362,USSR,1970,Say-Utes-3,1970,DEC,23,null,44.025,54.933,-500,75,75,12/23/1970,12,-152.4390244
281,USA,Dominic I,Androscoggin,1962,OCT,2,JO,14,-172,3130,75,75,10/2/1962,10,954.2682927
528,USSR,1976,,1976,NOV,23,STS-B,50.01306,78.94333,0,20,74,11/23/1976,11,0
879,USSR,1985,,1985,APR,25,STS-B,49.92667,78.88083,0,20,74,4/25/1985,4,0
890,USSR,1985,,1985,JUL,20,STS-B,49.94972,78.78389,0,20,74,7/20/1985,7,0
95,USA,Plumbbob,Hood,1957,JUL,5,NTS-YF,37.1347,-116.0408,460,74,74,7/5/1957,7,140.2439024
461,USA,Flintlock,Chartreuse,1966,MAY,6,NTS-PM,37.348,-116.32194,-666.75,73,73,5/6/1966,5,-203.277439
244,USA,Dominic I,Chetco,1962,MAY,19,LI-CH,1.6,-157.3,2105,73,73,5/19/1962,5,641.7682927
915,USSR,1987,,1987,AUG,2,STS-B,49.88056,78.87472,0,0.001,72,8/2/1987,8,0
38,FRANCE,1970,Orion,1970,AUG,2,PFA-FR,-21.786,-138.893,400,72,72,8/2/1970,8,121.9512195
451,USSR,1974,,1974,MAY,31,STS-B,49.96056,78.84417,-316,20,71,5/31/1974,5,-96.34146341
975,USSR,1990,,1990,OCT,24,NZ-NS,73.331,54.757,-600,20,70,10/24/1990,10,-182.9268293
455,USA,Flintlock,Duryea,1966,APR,14,NTS-PM,37.24267,-116.43086,-544.25,70,70,4/14/1966,4,-165.929878
672,USA,Mandrel,Yannigan-Red,1970,FEB,26,NTS-YF,37.11636,-116.06144,-388.62,20,70,2/26/1970,2,-118.4817073
563,USSR,1977,,1977,NOV,30,STS-B,49.96722,78.87444,0,20,70,11/30/1977,11,0
216,USSR,1962,,1962,DEC,18,NZ,73,55,1500,69,69,12/18/1962,12,457.3170732
75,USSR,1958,,1958,OCT,10,NZ,73,55,0,68,68,10/10/1958,10,0
960,USSR,1988,,1988,DEC,17,STS-B,49.88194,78.92472,0,20,68,12/17/1988,12,0
29,UK,Cresset,Fondutta,1978,APR,11,NTS-PM,37.29963,-116.3267,-633.07,20,67,4/11/1978,4,-193.0091463
883,USA,Fulcrum,Bulkhead,1977,APR,27,NTS-YF,16:29.9,-116.02788,-594.36,20,67,4/27/1977,4,-181.2073171
784,USA,Toggle,Miera,1973,MAR,8,NTS-YF,29:09.3,-116.02672,-568.39,20,67,3/8/1973,3,-173.2896341
426,USA,Flintlock,Bronze,1965,JUL,23,NTS-YF,37.09786,-116.033,-530.96,20,67,7/23/1965,7,-161.8780488
736,USA,Grommet,Algodones,1971,AUG,18,NTS-YF,37.05719,-116.03633,-527.61,20,67,8/18/1971,8,-160.8567073
1043,USA,Charioteer,Tajo,1986,JUN,5,NTS-YF,21:32.3,-116.0155,-518.2,20,67,6/5/1986,6,-157.9878049
1086,USA,Cornerstone,Texarkana           *,1989,FEB,10,NTS-YF,50:33.8,-116.00061,-504.02,20,67,2/10/1989,2,-153.6646341
1119,USA,Julin,Lubbock,1991,OCT,18,NTS-YF,31:20.4,-116.04529,-457.2,20,67,10/18/1991,10,-139.3902439
261,USA,Nougat,Haymaker,1962,JUN,27,NTS-YF,37.04158,-116.03525,-408.56,67,67,6/27/1962,6,-124.5609756
364,USSR,1971,,1971,MAR,22,STS-D,49.79333,78.11306,0,20,67,3/22/1971,3,0
515,USSR,1976,,1976,JUL,4,STS-B,49.90417,78.89944,0,20,65,7/4/1976,7,0
150,USA,Hardtack I,Juniper,1958,JUL,22,BK,11.4961,165.3708,3,65,65,7/22/1958,7,0.914634146
1,FRANCE,Gerboise,Gerboise Bleue,1960,FEB,13,AL-R,26.3117,-0.0572,105,60,65,2/13/1960,2,32.01219512
389,USSR,1971,Galit,1971,DEC,22,null,47.897,48.133,-987,64,64,12/22/1971,12,-300.9146341
88,FRANCE,1978,Priam,1978,NOV,30,PMU-R34,-21.868,-138.95,0,20,64,11/30/1978,11,0
966,USSR,1989,,1989,FEB,12,STS-B,49.91861,78.71111,0,20,63,2/12/1989,2,0
876,USSR,1985,,1985,FEB,10,STS-B,49.89917,78.78056,0,0.001,62,2/10/1985,2,0
174,FRANCE,1987,Pelee,1987,NOV,19,PMU-L,-21.845,-138.941,0,20,62,11/19/1987,11,0
17,USSR,1954,(Joe 12?),1954,OCT,23,STS,50,78,410,62,62,10/23/1954,10,125
45,USA,Upshot-Knothole,Climax,1953,JUN,4,NTS-YF,37.0875,-116.0183,410,61,61,6/4/1953,6,125
342,USA,Niblick,Clearwater,1963,OCT,16,NTS-RM,37.19817,-116.2295,-548.03,20,60,10/16/1963,10,-167.0823171
602,USSR,1978,,1978,SEP,27,NZ-NS,73.349,54.676,-350,20,60,9/27/1978,9,-106.7073171
307,USSR,1968,Argon,1968,SEP,29,STS-D,49.80417,78.10556,0,60,60,9/29/1968,9,0
581,USSR,1978,,1978,JUL,28,STS-D,49.755,78.145,0,20,60,7/28/1978,7,0
834,USSR,1984,,1984,APR,15,STS-D,49.76056,78.08917,0,20,60,4/15/1984,4,0
506,USSR,1975,,1975,DEC,25,STS-B,50.04389,78.82,0,20,59,12/25/1975,12,0
517,USSR,1976,,1976,JUL,29,null,47.87,48.15,-1000,58,58,7/29/1976,7,-304.8780488
870,USA,Anvil,Billet,1976,JUL,27,NTS-YF,48:32.0,-116.04382,-636.57,20,58,7/27/1976,7,-194.0762195
567,USA,Crosstie,Chateaugay,1968,JUN,28,NTS-PM,37.2455,-116.48286,-607.02,20,58,6/28/1968,6,-185.0670732
799,USA,Toggle,Potrillo,1973,JUN,21,NTS-YF,12:32.3,-116.02723,-567.02,20,58,6/21/1973,6,-172.8719512
419,USSR,1972,,1972,DEC,10,STS-D,49.82611,78.09194,0,0.001,58,12/10/1972,12,0
579,USSR,1978,,1978,JUN,11,STS-B,49.91333,78.80194,0,20,58,6/11/1978,6,0
131,USA,Hardtack I,Magnolia,1958,MAY,26,EN,11.5428,162.3539,4,57,57,5/26/1958,5,1.219512195
40,USSR,1957,,1957,APR,6,STS,50,78,1145,57,57,4/6/1957,4,349.0853659
611,USSR,1978,Galit,1978,OCT,17,null,47.85,48.12,-1040,20,56,10/17/1978,10,-317.0731707
627,USSR,1979,,1979,JAN,17,null,47.92,48.12,0,20,56,1/17/1979,1,0
133,FRANCE,1982,Laios,1982,JUL,25,PMU-L,-21.836,-138.896,0,20,56,7/25/1982,7,0
145,FRANCE,1984,Midas,1984,MAY,12,PMU-L,-21.863,-138.901,0,20,56,5/12/1984,5,0
264,USSR,1966,,1966,OCT,19,STS-D,49.74194,78.02556,0,20,55,10/19/1966,10,0
475,USSR,1975,,1975,FEB,20,STS-D,49.79889,78.00139,0,0.001,55,2/20/1975,2,0
529,USSR,1976,,1976,DEC,7,STS-B,49.94389,78.83917,0,20,54,12/7/1976,12,0
159,FRANCE,1985,Megaree,1985,NOV,26,PMU-L,-21.856,-138.899,0,20,54,11/26/1985,11,0
519,USSR,1976,,1976,AUG,28,STS-B,49.975,78.92639,0,20,53,8/28/1976,8,0
151,FRANCE,1984,Memnon,1984,DEC,6,PMU-L,-21.837,-138.89,0,20,53,12/6/1984,12,0
9,FRANCE,,Rubis,1963,OCT,20,AL-IE,24.0355,5.0386,0,40,52,10/20/1963,10,0
256,USA,Dominic I,Dulce,1962,JUN,17,LI-CH,1.6,-157.3,2771,52,52,6/17/1962,6,844.8170732
407,USA,Whetstone,Wagtail,1965,MAR,3,NTS-YF,37.0645,-116.03719,-749.59,20,51,3/3/1965,3,-228.5335366
1038,USA,Charioteer,Glencoe,1986,MAR,22,NTS-YF,59:31.2,-116.0661,-609.6,29,51,3/22/1986,3,-185.8536585
884,USA,Fulcrum,Crewline,1977,MAY,25,NTS-YF,15:50.1,-116.04486,-564.18,20,51,5/25/1977,5,-172.0060976
617,USA,Bowline,Blenton,1969,APR,30,NTS-YF,37.0815,-116.01394,-557.73,20,51,4/30/1969,4,-170.0396341
28,UK,Anvil,Banon,1976,AUG,26,NTS-YF,37.12501,-116.082,-536.4,20,51,8/26/1976,8,-163.5365854
438,USA,Flintlock,Buff,1965,DEC,16,NTS-YF,37.0726,-116.0291,-500.41,20,51,12/16/1965,12,-152.5640244
671,USA,Mandrel,Cumarin,1970,FEB,25,NTS-YF,37.03667,-115.99958,-408.51,20,51,2/25/1970,2,-124.5457317
112,FRANCE,1980,Diomede,1980,DEC,3,PMU-R34,-21.875,-138.939,0,20,51,12/3/1980,12,0
172,FRANCE,1987,Helenos,1987,OCT,23,PMU-L,-21.845,-138.907,0,20,51,10/23/1987,10,0
33,USSR,1956,,1956,SEP,2,STS,50,78,1050,51,51,9/2/1956,9,320.1219512
390,USSR,1971,,1971,DEC,30,STS-D,49.74917,78.00611,0,0.001,50,12/30/1971,12,0
78,FRANCE,1977,Enee,1977,NOV,24,PMU-R34,-21.884,-138.886,0,20,50,11/24/1977,11,0
559,USSR,1977,,1977,OCT,29,STS-B,50.05222,78.98028,0,20,50,10/29/1977,10,0
46,CHINA,,S,1996,JUN,8,LN-C,41.66,88.69,0,20,50,6/8/1996,6,0
238,USA,Dominic I,Muskegon,1962,MAY,11,LI-CH,1.6,-157.3,913,50,50,5/11/1962,5,278.3536585
19,FRANCE,1966,Tamoure,1966,JUL,19,PMU,-21.8,-138.9,1000,50,50,7/19/1966,7,304.8780488
318,USSR,1969,,1969,MAR,7,STS-D,49.82833,78.05972,0,20,49,3/7/1969,3,0
831,USSR,1984,,1984,FEB,19,STS-B,49.89611,78.74306,0,20,49,2/19/1984,2,0
7,USA,Sandstone,Yoke,1948,APR,30,EN,11.62,162.33,60,49,49,4/30/1948,4,18.29268293
297,USSR,1968,Pamuk,1968,MAY,21,null,38.918,65.032,-2440,47,47,5/21/1968,5,-743.902439
237,USSR,1964,,1964,NOV,16,STS-D,49.81389,78.13361,0,20,47,11/16/1964,11,0
72,FRANCE,1977,Nestor,1977,MAR,19,PMU-R34,-21.887,-138.92,0,20,47,3/19/1977,3,0
181,FRANCE,1988,Thrasymedes,1988,NOV,5,PMU-L,-21.793,-138.987,0,20,47,11/5/1988,11,0
15,USA,Greenhouse,Easy,1951,APR,20,EN,11.6689,162.2403,91,47,47,4/20/1951,4,27.74390244
210,FRANCE,1996,Xouthos,1996,JAN,27,PFA-L2,-22.24,-138.82,0,20,46,1/27/1996,1,0
17,USA,Greenhouse,Item,1951,MAY,24,EN,11.673,162.2486,62,45.5,45.5,5/24/1951,5,18.90243902
691,USA,Mandrel,Cornice-Yellow,1970,MAY,15,NTS-YF,37.166,-116.036,-390.14,20,45,5/15/1970,5,-118.945122
288,USSR,1967,,1967,OCT,17,STS-D,49.78444,77.99778,0,0.001,45,10/17/1967,10,0
182,FRANCE,1988,Pheres,1988,NOV,23,PMU-L,-21.835,-138.954,0,20,45,11/23/1988,11,0
204,USSR,1962,,1962,NOV,3,NZ,73,55,4000,45,45,11/3/1962,11,1219.512195
